Updated On,State,Total Doses Administered,First Dose Administered,Second Dose Administered,Male (Doses Administered),Female (Doses Administered),Transgender (Doses Administered),Covaxin (Doses Administered),CoviShield (Doses Administered),Sputnik V (Doses Administered),Male (Individuals Vaccinated),Female (Individuals Vaccinated),Transgender (Individuals Vaccinated)
15-07-2021,India,390286930,312624872,77662058,208881920,181335624,69386,48322223,341703521,261186,,,
16-07-2021,India,394641704,315177274,79464430,211136743,183434678,70283,48832941,345528530,280233,,,
17-07-2021,India,399873648,318403675,81469973,213861867,185940424,71357,49284948,350286122,302578,,,
18-07-2021,India,401441969,319469878,81972091,214657889,186712441,71639,49377691,351756263,308015,,,
19-07-2021,India,406790133,322905680,83884453,217407550,189309762,72821,49702746,356765200,322187,,,
20-07-2021,India,410430826,325242678,85188148,219282113,191075012,73701,50023562,360070547,336717,,,
21-07-2021,India,412817034,326792911,86024123,220516550,192226247,74237,50204520,362262299,350215,,,
22-07-2021,India,418366838,330465663,87901175,223376425,194914788,75625,50586096,367417104,363638,,,
23-07-2021,India,422845298,333352959,89492339,225676609,197091984,76705,51020810,371447023,377465,,,
24-07-2021,India,428109930,336917806,91192124,228432995,199598934,78001,51538610,376177250,394070,,,
25-07-2021,India,430170531,338346937,91823594,229530717,200561391,78423,51767129,378003458,399944,,,
26-07-2021,India,436861480,343039824,93821656,232940580,203840892,80008,52419879,384030365,411236,,,
27-07-2021,India,441128674,345867755,95260919,235125348,205922411,80915,52894031,387811369,423274,,,
28-07-2021,India,445696580,349104325,96592255,237477784,208136635,82161,53408734,391853470,434376,,,
29-07-2021,India,450997892,352679959,98317933,240211089,210703313,83490,54031515,396521739,444638,,,
30-07-2021,India,456471250,356348903,100122347,242983261,213403098,84891,54580577,401434035,456638,,,
31-07-2021,India,463113439,361264651,101848788,246409497,216617587,86541,55439978,407198907,474554,,,
01-08-2021,India,467769865,365110984,102658881,248763622,218919118,87125,56043444,411243920,482501,,,
02-08-2021,India,473977156,369654820,104322336,251922714,221965874,88568,56851465,416629951,495740,,,
03-08-2021,India,480643928,375040194,105603734,255277644,225275770,90514,57595129,422539027,509772,,,
04-08-2021,India,484911273,378269912,106641361,257443333,227376100,91840,58451360,425936633,523280,,,
05-08-2021,India,490760938,382658786,108102152,260416391,230251149,93398,59350900,430872848,537190,,,
